"","Date","The_Big_Bang_Theory_en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_desktop_all.agents","Liste_des_épisodes_de_The_Big_Bang_Theory_fr.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_en.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_en.wikipedia.org_all.access_spider","List_of_The_Big_Bang_Theory_episodes_en.wikipedia.org_all.access_spider","The_Big_Bang_Theory_.season_9._en.wikipedia.org_all.access_spider","List_of_The_Big_Bang_Theory_episodes_en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_de.wikipedia.org_all.access_spider","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_all.access_spider","The_Big_Bang_Theory_fr.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_de.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_es.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_en.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_es.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_es.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_de.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_all.access_spider","The_Big_Bang_Theory_de.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_es.wikipedia.org_all.access_spider"
"197",2016-01-12,"21386"," 1381","  485","11966"," 9094"," 2192","  125","   82","   37","16498","13744","   68","   17","  770"," 7029"," 2429"," 1685"," 8949"," 4474"," 3594"," 1870"," 6846"," 1585","   15","14545"," 4169","   35"
"198",2016-01-13,"20376"," 1460","  459","11834"," 9313"," 2252","  112","  123","   92","16076","13642","   22","   18","  761"," 5394"," 1787"," 1591"," 8036"," 4146"," 3405"," 1785"," 5633"," 1072","   16","11589"," 2968","   33"
"199",2016-01-14,"21561"," 1430","  494","12178","10543"," 2244","  125","   87","   41","17483","15636","   12","    8","  762"," 4731"," 1578"," 1748"," 8890"," 4887"," 4184"," 2372"," 5055","  965","   13","10246"," 2634","   18"
"200",2016-01-15,"25971"," 1564","  676","15010","15690"," 2422","  142","  116","  148","25470","22194","   32","   12","  813"," 3890"," 1441"," 1730","10284"," 6205"," 3805"," 2041"," 4797","  831","   14"," 9113"," 2357","   42"
"201",2016-01-16,"20117"," 1896","  620","10790","10857"," 3710","  116","   95","  109","18174","16013","  258","   27"," 1732"," 3635"," 1376"," 1742"," 8802"," 4920"," 3812"," 2036"," 4992","  807","   12"," 9136"," 2274","   31"
"202",2016-01-17,"20994"," 1668","  610","11010","25347"," 2683","  129","   98","   44","16442","30205","   22","   14","  961"," 3348"," 1474"," 1425"," 9424"," 4662"," 3115"," 1656"," 4632"," 1032","   15"," 8478"," 2591","   29"
"203",2016-01-18,"21462"," 1489","  475","12680","10305"," 2397","  233","   78","  111","15946","14936","   47","   33","  855"," 6293"," 2141"," 2067"," 8343"," 4456"," 4269"," 2163","11709"," 1922","    5","19043"," 4248","   30"
"204",2016-01-19,"19627"," 1312","  442","11561"," 9555"," 2059","  146","   89","   55","14877","13733","   22","   15","  705"," 5842"," 2070"," 2090"," 7660"," 4016"," 4560"," 2422"," 7447"," 1056","   13","13951"," 3226","   29"
"205",2016-01-20,"19765"," 1362","  443","11302"," 9089"," 2106","  190","   82","   55","14602","13221","   30","   10","  695"," 5332"," 1571"," 2278"," 8026"," 3983"," 6059"," 3710"," 7583","  910","    9","13571"," 2543","   38"
"206",2016-01-21,"21809"," 1359","  454","12646","10337"," 2117","  120","  113","   52","18736","15439","   26","   13","  724"," 4839"," 1498"," 1977"," 8685"," 4880"," 4816"," 2782"," 6639","  992","    9","12064"," 2608","   35"
"207",2016-01-22,"32269"," 1644","  672","20061","18144"," 2453","  150","  155","   64","43430","26619","   23","    5","  765"," 4001"," 1620"," 1885","11462"," 7996"," 4539"," 2597"," 4050","  766","   14"," 8415"," 2465","   34"
"208",2016-01-23,"22057"," 2069","  699","12846","11990"," 3771","  118","  107","   76","24379","17608","   23","   17"," 1622"," 3296"," 1351"," 1500"," 8687"," 5355"," 3331"," 1792"," 5342","  783","   23"," 9148"," 2214","   27"
"209",2016-01-24,"23840"," 1575","  653","12589","10657"," 2601","  110","  110","   45","21067","16242","   21","   16","  975"," 3295"," 1502"," 1675","10638"," 5348"," 3476"," 1746"," 4707","  907","   18"," 8484"," 2506","   50"
"210",2016-01-25,"23649"," 1767","  512","14211","11363"," 2814","  157","  112","   98","18223","16288","   19","   19"," 1004"," 6520"," 2196"," 2390"," 8948"," 4712"," 4390"," 1960","11222"," 1874","   15","18880"," 4281","   47"
"211",2016-01-26,"21695"," 1673","  517","13025","10006"," 2714","  183","   93","   92","15931","14338","   33","    7","  984"," 6934"," 1935"," 2238"," 8253"," 4161"," 4811"," 2528"," 6160","  967","   11","13708"," 3005","   29"
"212",2016-01-27,"20975"," 1450","  476","12202"," 9558"," 2255","  163","   79","   56","15450","13651","   22","   15","  754"," 5138"," 1451"," 1952"," 8326"," 3894"," 4367"," 2383"," 6003","  772","    8","11664"," 2307","   34"
"213",2016-01-28,"23184"," 1379","  495","13463","10361"," 2227","  168","  110","   82","17849","15323","   26","   18","  806"," 4702"," 1363"," 1844"," 9211"," 4757"," 4915"," 3000"," 5214","  697","   15","10360"," 2127","   29"
"214",2016-01-29,"31597"," 1586","  595","18024","15439"," 2402","  202","  106","   68","29647","23082","   15","   13","  765"," 4026"," 1386"," 2004","12820"," 7296"," 4689"," 2644"," 3478","  598","    8"," 7899"," 2035","   26"
"215",2016-01-30,"22016"," 1942","  598","12542","10805"," 3653","  291","  109","   48","18995","15970","  122","   13"," 1628"," 3248"," 1236"," 1496"," 8967"," 4960"," 3390"," 1860"," 4221","  640","   13"," 7868"," 1937","   33"
"216",2016-01-31,"20673"," 1628","  648","11480","10115"," 2600","  146","  101","   51","17054","14944","   75","   10","  918"," 3302"," 1334"," 1547"," 8619"," 4635"," 3606"," 2000"," 3719","  674","   14"," 7417"," 2084","   21"
"217",2016-02-01,"20734"," 1462","  527","12057","10310"," 2386","  114","  161","   98","16348","14615","   38","   22","  874"," 5246"," 2054"," 1558"," 8212"," 4132"," 3216"," 1628"," 8013"," 1381","   13","13956"," 3593","   29"
"218",2016-02-02,"18323"," 1304","  448","11114"," 9568"," 2147","  135","  124","   61","15371","14180","   27","   13","  779"," 4680"," 1823"," 1697"," 6812"," 4432"," 3722"," 1995"," 3860","  771","   11"," 8904"," 2664","   26"
"219",2016-02-03,"19435"," 1226","  426","11418"," 9974"," 1947","  225","  103","   46","15818","14809","   22","   16","  682"," 3578"," 1341"," 1614"," 7578"," 4664"," 3920"," 2266"," 3063","  585","   22"," 6965"," 1979","   19"
"220",2016-02-04,"23021"," 1453","  532","13378","12522"," 2371","  150","  106","   71","19461","18317","   20","   15","  870"," 3963"," 1272"," 1860"," 9158"," 5571"," 4222"," 2317"," 3255","  571","   11"," 7535"," 1883","   32"
"221",2016-02-05,"27924"," 1616","  704","16386","20920"," 2576","  136","  142","  222","30736","31519","   20","   21","  896"," 3343"," 1270"," 1729","10840","10099"," 4000"," 2232"," 3321","  491","   22"," 7013"," 1809","   35"
"222",2016-02-06,"19586"," 1995","  630","10916","12547"," 3837","  148","  147","  129","19127","19367","   19","    8"," 1763"," 2488"," 1027"," 1227"," 8158"," 6496"," 2872"," 1608"," 3731","  541","   16"," 6591"," 1620","   26"
"223",2016-02-07,"19581"," 1656","  617","10383","10816"," 2924","  141","  100","   65","17418","16808","   14","   10"," 1190"," 2626"," 1204"," 1269"," 8715"," 5739"," 2755"," 1449"," 3378","  654","   10"," 6326"," 1919","   30"
"224",2016-02-08,"22865"," 1541","  527","11886","11626"," 2621","  150","  119","   69","18237","18954","   29","   12"," 1022"," 4505"," 1757"," 1455","10404"," 7004"," 3113"," 1629"," 6359"," 1379","   13","11554"," 3303","   23"
"225",2016-02-09,"18873"," 1385","  461","11200","10054"," 2214","  282","  139","   41","14958","15613","   63","   17","  787"," 4203"," 1634"," 1619"," 7265"," 5357"," 3413"," 1749"," 3584","  718","    5"," 8125"," 2424","   51"
"226",2016-02-10,"19569"," 1245","  391","11387"," 9990"," 2013","  215","  101","   81","14616","15223","   17","   10","  719"," 4325"," 1334"," 1923"," 7773"," 5016"," 4841"," 2859"," 3430","  599","   16"," 8110"," 1994","   37"
"227",2016-02-11,"19992"," 1172","  378","11375","10975"," 1988","  164","  111","  110","15794","16397","   10","    6","  765"," 3282"," 1179"," 1570"," 8208"," 5217"," 3491"," 1883"," 2765","  468","   13"," 6333"," 1687","   29"
"228",2016-02-12,"31930"," 1442","  524","17827","18069"," 2398","  217","  137","  213","26680","26632","   20","   10","  905"," 3517"," 1138"," 1704","13285"," 8149"," 3856"," 2108"," 3395","  511","    6"," 7245"," 1702","   28"
"229",2016-02-13,"21863"," 1882","  572","11856","11475"," 3607","  629","  134","  237","17295","17519","   21","   21"," 1622"," 2673"," 1156"," 1302"," 9406"," 5752"," 2764"," 1421"," 3828","  576","   20"," 6820"," 1802","   29"
"230",2016-02-14,"20239"," 1629","  581","10344"," 9978"," 2752","  166","  121","   47","15876","15775","   32","    6"," 1052"," 3460"," 1306"," 1318"," 9352"," 5555"," 2788"," 1435"," 4393","  733","   27"," 8340"," 2107","   28"
"231",2016-02-15,"20021"," 1370","  440","11349","10402"," 2175","  168","  135","   38","15414","15428","   23","   16","  764"," 5412"," 2061"," 1440"," 8247"," 4819"," 2994"," 1525"," 7589"," 2012","   11","13799"," 4301","   32"
"232",2016-02-16,"20494"," 1162","  374","11099"," 9510"," 1903","  148","   87","   68","14099","14300","   17","   13","  705"," 4640"," 1735"," 1536"," 8920"," 4596"," 3052"," 1479"," 4039","  833","   10"," 9079"," 2644","   34"
"233",2016-02-17,"20378"," 1237","  380","11162"," 9251"," 1978","  133","   97","   59","13654","13748","   23","   21","  704"," 3587"," 1209"," 1541"," 8741"," 4292"," 3098"," 1521"," 3330","  562","   10"," 7254"," 1831","   44"
"234",2016-02-18,"22486"," 1234","  431","12157","10629"," 1980","  141","   90","   80","15860","15984","   31","   12","  704"," 3152"," 1093"," 1435"," 9769"," 5115"," 3392"," 1913"," 3069","  517","   10"," 6525"," 1655","   16"
"235",2016-02-19,"27265"," 1368","  552","14936","15827"," 2203","  228","  128","  217","23803","22731","   12","   12","  792"," 3249"," 1137"," 1667","11609"," 6583"," 3513"," 1813"," 3100","  510","   17"," 6642"," 1697","   25"
"236",2016-02-20,"21001"," 1911","  562","10901","10755"," 3725","  247","   91","   84","16763","16348","   22","   16"," 1699"," 2367"," 1039"," 1332"," 9560"," 5357"," 2865"," 1499"," 3380","  589","   11"," 6127"," 1697","   11"
"237",2016-02-21,"24741"," 1472","  551","11777","10558"," 2583","  142","   99","  111","17244","16766","   26","   10"," 1047"," 2591"," 1196"," 1289","12205"," 5929"," 2769"," 1450"," 3162","  735","   14"," 6076"," 1993","   22"
"238",2016-02-22,"31136"," 1514","  460","16110","10877"," 2585","  142","   96","   67","16870","15983","   45","   16"," 1014"," 7134"," 2300"," 1450","14256"," 4895"," 2885"," 1404"," 8008"," 2050","   15","15940"," 4598","   11"
"239",2016-02-23,"25282"," 1280","  432","14148"," 9683"," 2223","  256","   95","   43","15150","14299","   39","   15","  901"," 5026"," 1850"," 1542","10611"," 4443"," 3275"," 1694"," 3854","  856","   21"," 9245"," 2792","   14"
"240",2016-02-24,"23862"," 1318","  392","12693"," 9449"," 2111","  123","  105","  121","14227","14068","   41","   15","  761"," 3588"," 1220"," 1582","10553"," 4426"," 3455"," 1839"," 2977","  531","   18"," 6886"," 1808","   13"
"241",2016-02-25,"32998"," 1314","  403","17063","11057"," 2195","  164","  180","   98","16898","16239","   21","   16","  839"," 3456"," 1166"," 1560","15097"," 4979"," 3845"," 2225"," 3405","  591","   17"," 7236"," 1804","   20"
"242",2016-02-26,"36050"," 1590","  608","20090","18781"," 2486","  201","  186","  295","28288","26255","   30","   19","  856"," 4165"," 1313"," 1910","15059"," 7125"," 4302"," 2347"," 3049","  543","   35"," 7516"," 1924","   27"
"243",2016-02-27,"23646"," 1773","  568","12484","11864"," 3554","  167","  174","  174","18438","17337","   32","   13"," 1689"," 2607"," 1060"," 1371","10593"," 5241"," 3227"," 1818"," 2996","  514","   27"," 5856"," 1618","   33"
"244",2016-02-28,"24477"," 1613","  579","12418","10418"," 2659","  122","  120","   44","16352","15643","   20","   12","  989"," 2606"," 1126"," 1299","11462"," 4999"," 3177"," 1843"," 2954","  592","   21"," 5879"," 1777","   31"
"245",2016-02-29,"21217"," 1304","  424","12110"," 9691"," 2039","  146","   99","   82","14164","14168","   30","   20","  701"," 4517"," 1881"," 1355"," 8618"," 4278"," 2840"," 1442"," 5898"," 1796","   16","11107"," 3878","   22"
"246",2016-03-01,"19018"," 1170","  354","10761"," 8964"," 1902","  163","  109","   71","13230","13413","   41","   50","  687"," 3741"," 1741"," 1355"," 7847"," 4254"," 3175"," 1786"," 3428","  885","   11"," 7480"," 2712","   22"
"247",2016-03-02,"20003"," 1125","  357","11061"," 9286"," 1795","  171","  208","  166","13985","13765","   13","    8","  634"," 3269"," 1337"," 1502"," 8431"," 4309"," 3641"," 2114"," 3032","  646","   13"," 6611"," 2046","   22"
"248",2016-03-03,"21866"," 1183","  418","12213","10207"," 1900","  175","  103","   60","16219","15100","   19","    6","  687"," 3264"," 1191"," 1565"," 9151"," 4710"," 3976"," 2365"," 2895","  641","   13"," 6477"," 1897","   16"
"249",2016-03-04,"30888"," 1506","  669","19785","20276"," 2302","  153","  125","  194","37898","28932","   19","   13","  756"," 3470"," 1451"," 1814","10417"," 8246"," 3851"," 2008"," 3069","  596","    6"," 6845"," 2100","   12"
"250",2016-03-05,"21666"," 1928","  646","12559","12906"," 3766","  138","   94","  168","21128","18719","   23","    9"," 1738"," 2682"," 1123"," 1387"," 8593"," 5579"," 3075"," 1644"," 3061","  589","   15"," 6066"," 1783","   24"
"251",2016-03-06,"21747"," 1401","  631","11667","11310"," 2354","  142","  240","   79","18179","16534","   21","    8","  911"," 2803"," 1247"," 1331"," 9526"," 4994"," 2966"," 1599"," 2691","  619","   14"," 5807"," 1915","   11"
"252",2016-03-07,"21867"," 1321","  462","12066","10897"," 2021","  116","  162","   80","16299","15931","   39","   14","  669"," 4699"," 1888"," 1465"," 9249"," 4849"," 3186"," 1684"," 7827"," 1699","   14","13279"," 3811","   11"
"253",2016-03-08,"20603"," 1213","  369","11578"," 9595"," 1895","  235","  134","   98","14509","14186","   20","    8","  647"," 5152"," 1952"," 1445"," 8578"," 4400"," 3135"," 1657"," 4489","  897","    8","10052"," 2933","    9"
"254",2016-03-09,"19873"," 1470","  399","11296"," 9641"," 2103","  112","  149","  105","14205","14042","   40","   11","  589"," 4351"," 1476"," 1682"," 8152"," 4225"," 4033"," 2303"," 4493","  860","   14"," 9254"," 2412","   19"
"255",2016-03-10,"21442"," 1077","  421","12411","11580"," 1749","  127","  132","  114","16771","16630","   12","    4","  633"," 3565"," 1203"," 1553"," 8582"," 4871"," 4593"," 2971"," 4050","  769","   10"," 7952"," 2028","   18"
"256",2016-03-11,"25500"," 1349","  567","15392","18026"," 1944","  153","  123","  153","27143","25343","   30","    9","  551"," 3036"," 1220"," 1667"," 9501"," 6930"," 3500"," 1793"," 3489","  606","   35"," 6842"," 1883","   21"
"257",2016-03-12,"19988"," 1566","  541","11089","12037"," 3012","  129","   94","  157","17804","17238","   21","   12"," 1335"," 2481"," 1100"," 1141"," 8311"," 4898"," 2545"," 1357"," 2863","  553","   14"," 5707"," 1719","   21"
"258",2016-03-13,"21557"," 1211","  466","11088","10715"," 2051","  229","   79","   99","16760","15873","   27","    8","  786"," 2223"," 1177"," 1429"," 9875"," 4926"," 2931"," 1472"," 2537","  593","    9"," 5075"," 1830","   15"
"259",2016-03-14,"22897"," 1095","  413","12266","10295"," 1779","  221","   90","   73","15654","15006","   32","   12","  652"," 5024"," 2068"," 1359"," 9998"," 4462"," 2792"," 1412"," 6431"," 2081","    6","12164"," 4384","   19"
"260",2016-03-15,"19167"," 1017","  313","11055"," 9710"," 1612","  264","   78","   79","14168","13758","   29","    9","  562"," 5331"," 2208"," 1460"," 7698"," 3865"," 2945"," 1464"," 4019","  996","    8"," 9744"," 3304","   52"
"261",2016-03-16,"18912"," 1112","  362","10736"," 9643"," 1709","  136","   69","   91","13863","13861","   29","    9","  560"," 3484"," 1278"," 1491"," 7718"," 3989"," 3167"," 1660"," 3014","  616","    7"," 6787"," 1956","   41"
"262",2016-03-17,"25947"," 1137","  369","14580","12894"," 1752","  288","  101","   98","20508","19647","   39","   10","  578"," 3251"," 1147"," 1437","10837"," 6386"," 3146"," 1680"," 3009","  628","   14"," 6523"," 1841","   17"
"263",2016-03-18,"33703"," 1409","  583","22429","25875"," 2131","  237","  112","  111","43746","34423","  147","    5","  676"," 3149"," 1297"," 1426","10739"," 8057"," 2870"," 1421"," 2820","  520","   13"," 6218"," 1892","   39"
"264",2016-03-19,"21245"," 1595","  652","12630","13892"," 2965","  221","   88","  130","22292","19347","  285","   15"," 1296"," 2612"," 1090"," 1247"," 8224"," 5159"," 2601"," 1319"," 3032","  609","   19"," 5915"," 1771","   19"
"265",2016-03-20,"20938"," 1466","  549","11231","11690"," 2365","  168","  114","   97","18776","17243","  144","    8","  848"," 2373"," 1209"," 1183"," 9251"," 5250"," 2614"," 1411"," 2589","  626","   21"," 5220"," 1911","   18"
"266",2016-03-21,"19705"," 1279","  408","11591","10944"," 1920","  106","  110","   90","16218","15647","   31","   22","  597"," 4373"," 1939"," 1291"," 7758"," 4479"," 2590"," 1272"," 6165"," 1452","    7","11080"," 3615","   40"
"267",2016-03-22,"16983"," 1114","  375"," 9899"," 9381"," 1630","  116","   95","   85","13584","13503","   22","    6","  497"," 3422"," 1678"," 1278"," 6755"," 3952"," 2840"," 1536"," 3276","  710","   14"," 6999"," 2487","   12"
"268",2016-03-23,"17477"," 1024","  375"," 9849"," 9075"," 1603","  118","   86","   80","13293","13428","   16","    7","  550"," 2805"," 1240"," 1276"," 7231"," 4166"," 2722"," 1410"," 2975","  528","   11"," 6020"," 1832","   13"
"269",2016-03-24,"19531"," 1121","  386","10798","10182"," 1805","   86","   96","   74","15565","15352","   21","    6","  652"," 2844"," 1038"," 1046"," 8269"," 4890"," 2775"," 1678"," 2948","  516","   11"," 6057"," 1624","    8"
"270",2016-03-25,"22299"," 1359","  521","13653","13798"," 2062","  374","  108","  165","23940","19982","   16","    8","  661"," 2257"," 1197"," 1264"," 8170"," 5845"," 3187"," 1873"," 2508","  511","   35"," 5058"," 1784","   13"
"271",2016-03-26,"18256"," 1539","  487"," 9873"," 9910"," 2941","  132","   89","  113","14982","14826","   13","    7"," 1340"," 1809","  803"," 1148"," 7965"," 4671"," 2940"," 1761"," 2315","  459","   14"," 4352"," 1313","   12"
"272",2016-03-27,"19723"," 1125","  483"," 9793"," 9373"," 1870","  117","   91","   87","14011","14306","   16","   19","  695"," 1535","  891"," 1266"," 9432"," 4712"," 3122"," 1815"," 2053","  413","   23"," 3801"," 1371","    9"
"273",2016-03-28,"20565"," 1308","  524","11092","10901"," 2189","  117","   95","  106","15747","16140","   20","   10","  818"," 2117"," 1116"," 1400"," 8994"," 4994"," 2980"," 1549"," 2696","  628","   14"," 5080"," 1820","    9"
"274",2016-03-29,"18204"," 1148","  408","10676","10018"," 1755","  272","  118","  111","14040","14622","   15","    8","  576"," 2784"," 1434"," 1225"," 7207"," 4411"," 2567"," 1314"," 2928","  633","    9"," 5995"," 2148","   14"
"275",2016-03-30,"17836"," 1121","  431","10022"," 9654"," 1741","  118","   90","   91","13318","14250","   19","   16","  587"," 2786"," 1265"," 1401"," 7470"," 4415"," 3263"," 1824"," 2742","  563","   11"," 5831"," 1903","   22"
"276",2016-03-31,"19809"," 1263","  487","11029","11617"," 1861","  122","  100","   85","15958","17319","   23","   18","  562"," 2760"," 1197"," 1335"," 8434"," 5473"," 3235"," 1855"," 2457","  510","   13"," 5434"," 1781","   10"
"277",2016-04-01,"21911"," 1367","  582","12896","17036"," 2019","  241","  137","  247","22910","24062","   18","   13","  623"," 2292"," 1073"," 1190"," 8638"," 6660"," 2514"," 1290"," 2435","  499","   39"," 4969"," 1646","   19"
"278",2016-04-02,"18465"," 1454","  514"," 9962","10439"," 2785","  827","   89","   81","14339","15165","   22","   12"," 1268"," 1895","  929"," 1083"," 8155"," 4489"," 2374"," 1260"," 2523","  490","   22"," 4659"," 1484","   17"
"279",2016-04-03,"20933"," 1138","  452","10523"," 9580"," 1939","  836","   88","   83","14104","14402","   20","    8","  768"," 2054"," 1038"," 1130"," 9983"," 4573"," 2669"," 1513"," 2365","  575","    9"," 4659"," 1691","    9"
"280",2016-04-04,"17920"," 1017","  398","10210"," 9326"," 1575","  743","   88","   69","12911","13320","   20","   14","  525"," 3764"," 2334"," 1257"," 7387"," 3831"," 2639"," 1335"," 4716"," 2294","   18"," 8860"," 4867","   13"
"281",2016-04-05,"18213"," 1001","  367","10644"," 8621"," 1506"," 1279","  110","   63","12011","13109","   12","   11","  475"," 2988"," 1658"," 1264"," 7290"," 4270"," 2611"," 1324"," 2511","  764","   12"," 5739"," 2506","    9"
"282",2016-04-06,"17652","  992","  331","10161"," 8419"," 1542","  985","   84","   67","11331","12530","   25","    6","  518"," 2580"," 1133"," 1271"," 7136"," 3916"," 2637"," 1339"," 2168","  514","   13"," 4943"," 1698","   14"
"283",2016-04-07,"18363"," 1037","  345","10091","10000"," 1651","   96","   84","  124","14007","15398","   18","    9","  586"," 2607","  977"," 1343"," 7884"," 5125"," 2913"," 1528"," 2385","  444","   13"," 5193"," 1475","   20"
"284",2016-04-08,"22242"," 1138","  496","12813","15419"," 1777","  211","  123","  176","21738","21895","   19","   16","  614"," 2406"," 1058"," 1286"," 8979"," 6163"," 2814"," 1505"," 2532","  489","   24"," 5171"," 1600","   11"
"285",2016-04-09,"17363"," 1386","  496"," 9116","10026"," 2872","   98","   99","   89","14292","14668","   15","   14"," 1423"," 1974","  945"," 1279"," 7856"," 4439"," 2871"," 1564"," 2729","  550","   15"," 4945"," 1565","    8"
"286",2016-04-10,"17927"," 1126","  458"," 9113"," 9359"," 1920","  142","   89","  165","13552","13893","   20","    6","  749"," 1909","  980"," 1040"," 8430"," 4343"," 2479"," 1407"," 2114","  516","   18"," 4211"," 1565","    7"
"287",2016-04-11,"18245"," 1059","  354","10120"," 8944"," 1702","  144","   84","   72","12444","12849","   28","    8","  613"," 2851"," 1378"," 1625"," 7800"," 3736"," 2927"," 1280"," 3415","  905","   12"," 6571"," 2387","   10"
"288",2016-04-12,"16550","  950","  295"," 9165"," 7850"," 1494","  146","   86","   99","11055","11616","   25","    5","  515"," 2591","  982"," 1314"," 7069"," 3640"," 2563"," 1221"," 2291","  441","    9"," 5096"," 1457","    8"
"289",2016-04-13,"17158"," 1012","  331"," 9457"," 7660"," 1550","  327","  155","   76","11050","11341","   18","    4","  515"," 2678","  880"," 1173"," 7335"," 3548"," 2457"," 1259"," 2298","  394","   17"," 5158"," 1312","    8"
"290",2016-04-14,"19339","  961","  349","10585"," 9182"," 1434","  364","   78","   70","14049","14059","   15","   12","  448"," 2170","  759"," 1335"," 8394"," 4673"," 3018"," 1650"," 1998","  336","   12"," 4342"," 1131","   14"
"291",2016-04-15,"24085"," 1129","  547","15103","15430"," 1619","  346","  132","  118","26757","21698","   23","    8","  458"," 2210","  928"," 1268"," 8549"," 6007"," 2578"," 1281"," 2108","  396","    9"," 4477"," 1350","   13"
"292",2016-04-16,"17717"," 1582","  535"," 9948","10201"," 3128","  182","  101","   87","15804","14926","   14","    8"," 1491"," 1971","  848"," 1113"," 7420"," 4528"," 2342"," 1206"," 2437","  433","   17"," 4635"," 1319","    7"
"293",2016-04-17,"17829"," 1261","  514"," 9544"," 9528"," 2023","  246","  125","   71","14499","14222","   13","    5","  724"," 2054","  975"," 1106"," 7909"," 4521"," 2406"," 1281"," 2004","  485","   15"," 4233"," 1491","    8"
"294",2016-04-18,"18688"," 2766","  418","10759"," 9362"," 3349","  461","  117","   80","13413","13330","   20","   30","  559"," 2930"," 1245"," 1313"," 7555"," 3866"," 2513"," 1186"," 3071","  676","   13"," 6240"," 1974","   12"
"295",2016-04-19,"15950"," 1051","  384"," 9486"," 8638"," 1542","  205","   77","  117","11405","12175","   21","   36","  470"," 2802"," 1012"," 1171"," 6194"," 3404"," 2432"," 1242"," 2292","  465","   13"," 5248"," 1528","    7"
"296",2016-04-20,"16296","  962","  343"," 9526"," 8653"," 1464","  257","   92","   93","11618","12467","   24","    8","  481"," 2186","  782"," 1147"," 6517"," 3668"," 2389"," 1225"," 2105","  447","   18"," 4438"," 1266","    7"
"297",2016-04-21,"18583"," 1014","  420","10531","10594"," 1533","  110","   87","   77","14733","15604","   16","    8","  486"," 2097","  811"," 1147"," 7721"," 4825"," 2891"," 1718"," 1899","  396","   11"," 4124"," 1249","   16"
"298",2016-04-22,"23690"," 1281","  585","13413","15830"," 1881","  165","  127","  244","22298","22476","   15","   15","  569"," 2144","  904"," 1263"," 9877"," 6375"," 2762"," 1488"," 1965","  375","   13"," 4273"," 1324","   14"
"299",2016-04-23,"16449"," 1532","  564"," 8835","10302"," 3129","  174","   96","  196","14402","14972","   19","   12"," 1545"," 1953","  859","  980"," 7309"," 4475"," 2156"," 1151"," 2546","  428","   10"," 4661"," 1332","   10"
"300",2016-04-24,"17523"," 1225","  489"," 9037"," 9711"," 2000","  176","  113","   97","13414","14274","   18","    6","  750"," 1936","  879"," 1083"," 8162"," 4400"," 2354"," 1247"," 2102","  466","   19"," 4207"," 1383","   14"
"301",2016-04-25,"17956"," 1031","  398","10207"," 9319"," 1587","  404","   93","  106","12221","13211","   21","    9","  535"," 2959"," 1086"," 1234"," 7446"," 3771"," 2237","  990"," 3299","  661","    9"," 6469"," 1804","   36"
"302",2016-04-26,"16745"," 1092","  433"," 9756"," 9038"," 1649","  262","   79","   94","11615","13123","   15","   13","  532"," 2429","  947"," 1111"," 6752"," 3954"," 2105","  986"," 2236","  388","   14"," 4815"," 1375","    9"
"303",2016-04-27,"16800","  893","  344"," 9587"," 8773"," 1404","  354","   74","   85","11226","12729","   55","    5","  495"," 2442","  813"," 1161"," 6975"," 3817"," 2328"," 1153"," 2349","  395","   12"," 4949"," 1249","    9"
"304",2016-04-28,"23541"," 1009","  388","11663","10785"," 1469","  376","   87","  126","14811","16201","   19","    5","  439"," 2300","  802"," 1235","11398"," 5240"," 3250"," 1988"," 2391","  421","   10"," 4844"," 1280","   10"
"305",2016-04-29,"27382"," 1322","  555","15967","17672"," 1889","  431","  111","  185","23497","25080","   33","   13","  537"," 2351","  938"," 1282","10945"," 7157"," 3194"," 1884"," 2013","  357","   22"," 4503"," 1330","   15"
"306",2016-04-30,"19401"," 1689","  551","10297","11195"," 3170","  124","   74","  111","14902","16181","   19","    9"," 1430"," 1989","  812"," 1232"," 8750"," 4819"," 3114"," 1851"," 2382","  418","   15"," 4515"," 1271","    9"
"307",2016-05-01,"21941"," 1276","  491","11003","10429"," 2081","  348","   70","   81","14299","15457","   14","    4","  759"," 2103","  936"," 1202","10503"," 4843"," 2958"," 1732"," 2282","  432","    7"," 4558"," 1414","   11"
